endTime,artistName,trackName,msPlayed,weekday,hour
2019-01-02 16:55:00,Led Zeppelin,Since I've Been Loving You - 1990 Remaster,444148,Wednesday,16
2019-01-02 17:00:00,Led Zeppelin,What Is and What Should Never Be - 1990 Remaster,283973,Wednesday,17
2019-01-02 17:04:00,Supertramp,Crime Of The Century - Remastered,19894,Wednesday,17
2019-01-02 17:04:00,Electric Light Orchestra,Ticket to the Moon,247400,Wednesday,17
2019-01-02 17:08:00,Pink Floyd,Us And Them - 2011 Remastered Version,21909,Wednesday,17
2019-01-02 17:08:00,Queen,Love Of My Life - Remastered 2011,217386,Wednesday,17
2019-01-02 17:16:00,Pink Floyd,Us And Them - 2011 Remastered Version,469224,Wednesday,17
2019-01-02 17:17:00,The Doors,Blue Sunday,43535,Wednesday,17
2019-01-02 17:25:00,Led Zeppelin,Stairway to Heaven - Remaster,480327,Wednesday,17
2019-01-02 17:30:00,Led Zeppelin,Going to California - Remaster,205075,Wednesday,17
2019-01-02 17:37:00,Billy Joel,Captain Jack,437040,Wednesday,17
2019-01-02 17:37:00,Elvis Presley,Viva Las Vegas,24776,Wednesday,17
2019-01-02 17:42:00,Led Zeppelin,Ramble On - 1990 Remaster,263333,Wednesday,17
2019-01-02 17:48:00,Billy Joel,Piano Man,336093,Wednesday,17
2019-01-02 17:53:00,Dire Straits,On Every Street,303560,Wednesday,17
2019-01-02 18:00:00,Led Zeppelin,No Quarter - 2007 Remaster,422680,Wednesday,18
2019-01-02 18:03:00,Supertramp,Breakfast In America - Remastered,159346,Wednesday,18
2019-01-02 18:07:00,Supertramp,Oh Darling - 2010 Remastered,242413,Wednesday,18
2019-01-02 18:13:00,Supertramp,Take The Long Way Home - 2010 Remastered,308853,Wednesday,18
2019-01-02 18:15:00,Supertramp,Lord Is It Mine - 2010 Remastered,132773,Wednesday,18
2019-01-02 18:18:00,The Beatles,Here Comes The Sun - Remastered 2009,185733,Wednesday,18
2019-01-02 18:19:00,The Beatles,You Never Give Me Your Money - Remastered 2009,54781,Wednesday,18
2019-01-02 18:23:00,Aloe Blacc,I Need A Dollar,243053,Wednesday,18
2019-01-02 18:49:00,Oasis,Hello - Remastered,203186,Wednesday,18
2019-01-02 23:18:00,The Kooks,Bad Habit,220901,Wednesday,23
2019-01-02 23:22:00,The Kooks,It Was London,193293,Wednesday,23
2019-01-02 23:26:00,The Kooks,Bad Habit,203470,Wednesday,23
2019-01-02 23:29:00,The Strokes,Taken for a Fool,203240,Wednesday,23
2019-01-02 23:30:00,John Lennon,Happy Xmas (War Is Over) - Remastered,16328,Wednesday,23
2019-01-02 23:33:00,The Neighbourhood,Cry Baby,235160,Wednesday,23
2019-01-02 23:38:00,The Neighbourhood,Daddy Issues,260173,Wednesday,23
2019-01-02 23:42:00,The Neighbourhood,Greetings from Califournia,244040,Wednesday,23
2019-01-02 23:43:00,The Neighbourhood,Ferrari,66600,Wednesday,23
2019-01-02 23:44:00,The Neighbourhood,R.I.P. 2 My Youth,24997,Wednesday,23
2019-01-02 23:48:00,The Neighbourhood,Flawless,246493,Wednesday,23
2019-01-02 23:49:00,The Neighbourhood,Female Robbery,50496,Wednesday,23
2019-01-02 23:59:00,Queen,Death On Two Legs (Dedicated To...) - Remastered 2011,82818,Wednesday,23
2019-01-03 11:30:00,The Kooks,Bad Habit,217668,Thursday,11
2019-01-03 11:33:00,The Kooks,It Was London,193293,Thursday,11
2019-01-03 11:35:00,Queen,Lazing On A Sunday Afternoon - Remastered 2011,67400,Thursday,11
2019-01-03 11:38:00,Queen,'39 - 2011 Mix,200356,Thursday,11
